Cochrane Review ID,Author(s),Title,Source,Year,Abstract,Issue,Publisher,ISSN,Keywords,DOI,URL,Cochrane Review Group Code
"CD013302.PUB2","Aldin, A; Baumeister, A; Chakraverty, D; Monsef, I; Noyes, J; Kalbe, E; Woopen, C; Skoetz, N","Gender differences in the context of interventions for improving health literacy in migrants: a qualitative evidence synthesis","Cochrane Database of Systematic Reviews","2024","Abstract - Background Health literacy can be defined as a person's knowledge, motivation and competence in four steps of health‐related information processing ‐ accessing, understanding, appraising and applying health‐related information. Individuals with experience of migration may encounter difficulties with or barriers to these steps that may, in turn, lead to poorer health outcomes than those of the general population. Moreover, women and men have different health challenges and needs and may respond differently to interventions aimed at improving health literacy. In this review, we use 'gender' rather than 'sex' to discuss differences between men and women because gender is a broad term referring to roles, identities, behaviours and relationships associated with being male or female. Objectives The overall objective of this qualitative evidence synthesis (QES) was to explore and explain probable gender differences in the health literacy of migrants. The findings of this QES can provide a comprehensive understanding of the role that any gender differences can play in the development, delivery and effectiveness of interventions for improving the health literacy of female and male migrants. This qualitative evidence synthesis had the following specific objectives: ‐ to explore whether there are any gender differences in the health literacy of migrants; ‐ to identify factors that may underlie any gender differences in the four steps of health information processing (access, understand, appraise, and apply); ‐ to explore and explain gender differences found ‐ or not found ‐ in the effectiveness of health literacy interventions assessed in the effectiveness review that is linked to this QES (Baumeister 2023); ‐ to explain ‐ through synthesising findings from Baumeister 2023 and this QES ‐ to what extent gender‐ and migration‐specific factors may play a role in the development and delivery of health literacy interventions. Search methods We conducted electronic searches in MEDLINE, CINAHL, PsycINFO and Embase until May 2021. We searched trial registries and conference proceedings. We conducted extensive handsearching and contacted study authors to identify all relevant studies. There were no restrictions in our search in terms of gender, ethnicity or geography. Selection criteria We included qualitative trial‐sibling studies directly associated with the interventions identified in the effectiveness review that we undertook in parallel with this QES. The studies involved adults who were first‐generation migrants (i.e. had a direct migration experience) and used qualitative methods for both data collection and analysis. Data collection and analysis We extracted data into a form that we developed specifically for this review. We assessed methodological limitations in the studies using the CASP (Critical Appraisal Skills Programme) Qualitative Studies) checklist. The data synthesis approach that we adopted was based on ""best fit"" framework synthesis. We used the GRADE‐CERQual (Confidence in the Evidence from Reviews of Qualitative research) approach to assess our level of confidence in each finding. We followed PRISMA‐E guidelines to report our findings regarding equity. Main results We included 27 qualitative trial‐sibling studies directly associated with 24 interventions assessed in a linked effectiveness review (Baumeister 2023), which we undertook in parallel with this QES. Eleven studies included only women, one included only men and 15 included both. Most studies were conducted in the USA or Canada and primarily included people of Latino/Latina and Hispanic origin. The second most common origin was Asian (e.g. Chinese, Korean, Punjabi). Some studies lacked information about participant recruitment and consideration of ethical aspects. Reflexivity was lacking: only one study contained a reflection on the relationship between the researcher and participants and its impact on the research. None of the studies addressed our primary objective. Only three studies provided findings on gender aspects; these studies were conducted with women only. Below, we present findings from these studies, with our level of confidence in the evidence added in brackets. Accessing health information We found that 'migrant women of Korean and Afghan origin preferred access to a female doctor' (moderate confidence) for personal reasons or due to cultural norms. Our second finding was that 'Afghan migrant women considered their husbands to be gatekeepers', as women of an Afghan background stressed that, in their culture, the men were the heads of the household and the decision‐makers, including in personal health matters that affected their wives (low confidence). Our third finding was 'Afghan migrant women reported limited English proficiency' (moderate confidence), which impeded their access to health information and services. Understanding health information Female migrants of Afghan background reported limited writing and reading abilities, which we termed 'Afghan migrant women reported low literacy levels' (moderate confidence). Applying health information Women of Afghan and Mexican backgrounds stated that the 'women's role in the community' (moderate confidence) prevented them from maintaining their own health and making themselves a priority; this impeded applying health information. Appraising health information We did not find any evidence related to this step in health information processing. Other findings In the full text of this QES, we report on migration‐specific factors in health literacy and additional aspects related to health literacy in general, as well as how participants assessed the effectiveness of health literacy interventions in our linked effectiveness review. Moreover, we synthesised qualitative data with findings of the linked effectiveness review to report on gender‐ and migration‐specific aspects that need to be taken into account in the development, design and delivery of health literacy interventions. Authors' conclusions The question of whether gender differences exist in the health literacy of migrants cannot be fully answered in this qualitative evidence synthesis. Gender‐specific findings were presented in only three of the 27 included studies. These findings represented only Afghan, Mexican and Korean women's views and were probably culturally‐specific. We were unable to explore male migrants' perceived health literacy due to the notable lack of research involving migrant men. Research on male migrants' perceived health literacy and their health‐related challenges is needed, as well as more research on potential gender roles and differences in the context of migration. Moreover, there is a need for more research in different countries and healthcare systems to create a more comprehensive picture of health literacy in the context of migration. Plain language summary Are there differences between migrant women and men in how they access, understand, appraise and apply health information? Key messages ‐ A full exploration of whether differences exist between migrant women and men in how they access, understand, appraise and apply health information was not possible, particularly due to there being very little research with migrant men. ‐ Three studies conducted with migrant women indicated that particular gender roles in different communities and cultures can influence how health information is accessed, understood and applied. What did we want to find out? Our primary goal was to find out whether there are differences in how migrant (i.e. having moved to live in a foreign country) women and men access, understand, appraise and apply health information. To help us understand the evidence, we used an approach called the 'best fit framework' and a model known as 'health literacy information processing'. The four steps of health information processing ‐ the ability to access, understand, appraise and apply health information ‐ are what we define as a person's 'health literacy'. What did we do? We were interested in qualitative studies (e.g. studies where people share their opinions and perspectives on a certain health topic through interviews or group discussions). We conducted another review alongside this one to find out the effectiveness of different interventions to improve the health literacy of migrant women and men. We then integrated the findings of that review with this one to explain to what extent gender‐ and migration‐specific factors may play a role in the development and delivery of health literacy interventions. For this qualitative review, we searched for qualitative studies that were directly related to the interventions in the linked effectiveness review. We were interested in studies that were conducted alongside the effectiveness studies. These were studies that explored the perceptions and opinions of people from different cultural backgrounds on a certain health topic to help develop an intervention, or explore their experiences with an intervention that they had participated in. We used the four steps of the health information processing model (described above) to guide our synthesis of these data. We also assessed the quality of the studies and rated our confidence in the evidence, based on factors such as adequacy and relevance. What did we find? We included 27 studies. Eleven studies included only women, one study included only men, and 15 studies included both women and men. The age of study participants ranged from 26 to 87 years. Most studies were conducted in the USA or Canada and primarily included people of Latino/Latina/Hispanic origin (e.g. from the Caribbean, Central America or South America). The second most common origin of people was Asian (e.g. Chinese, Korean, Punjabi). The length of time participants had been living in the new country ranged from one month up to 38 years. Three studies of migrant women provided evidence on aspects that were related to migrant women, some of which also indicated differences between women and men. Regarding accessing health information, migrant women of Afghan and Korean background in two studies preferred access to a female rather than a male doctor for personal reasons, such as feelings of shame or humiliation, or due to cultural norms. Another finding regarding access was the perception of husbands as gatekeepers; women of Afghan background mentioned that in their culture, men are the head of the household and decision‐maker in the household, including about personal health matters that affect the women. Our third finding about access was that Afghan women's limited English proficiency impeded their access to health information and services. Regarding understanding health information, we identified low literacy levels amongst Afghan women as they reported limited ability in writing and reading. We did not find any evidence about the third step of health information processing ‐ appraising health information. Regarding applying health information, women of Mexican and Afghan background stated that the role of women in the community prevented them from maintaining their own health and making themselves a priority; this impeded applying health information. What are the limitations of the evidence? We rated our confidence in the evidence as moderate. We had minor to very minor concerns regarding methodological limitations in the studies, but serious concerns regarding the adequacy of the evidence as the evidence on gender aspects stems from only three studies and those studies included women only. We were not able to explore migrant men's health literacy due to the lack of research involving men. We suggest that more research on male migrants' perceived health literacy and their health‐related challenges is needed, particularly to explore potential differences between women and men. Moreover, there is a need for more research in different countries and healthcare systems to create a more comprehensive picture of aspects of health literacy in the context of migration. How up to date is this evidence? We searched for studies electronically until May 2021. We conducted handsearching and contacted study authors until September 2022.","12","John Wiley & Sons, Ltd","1465-1858","*Health Literacy; *Qualitative Research; *Transients and Migrants [psychology]; Female; Humans; Male; Sex Factors","10.1002/14651858.CD013302.pub2","http://dx.doi.org/10.1002/14651858.CD013302.pub2","Central Editorial Service"
"CD015705.PUB2","Glenton, C; Paulsen, E; Agarwal, S; Gopinathan, U; Johansen, M; Kyaddondo, D; Munabi-Babigumira, S; Nabukenya, J; Nakityo, I; Namaganda, R; Namitala, J; Neumark, T; Nsangi, A; Pakenham-Walsh, NM; Rashidian, A; Royston, G; Sewankambo, N; Tamrat, T; Lewin, S","Healthcare workers’ informal uses of mobile phones and other mobile devices to support their work: a qualitative evidence synthesis","Cochrane Database of Systematic Reviews","2024","Abstract - Background Healthcare workers sometimes develop their own informal solutions to deliver services. One such solution is to use their personal mobile phones or other mobile devices in ways that are unregulated by their workplace. This can help them carry out their work when their workplace lacks functional formal communication and information systems, but it can also lead to new challenges. Objectives To explore the views, experiences, and practices of healthcare workers, managers and other professionals working in healthcare services regarding their informal, innovative uses of mobile devices to support their work. Search methods We searched MEDLINE, Embase, CINAHL and Scopus on 11 August 2022 for studies published since 2008 in any language. We carried out citation searches and contacted study authors to clarify published information and seek unpublished data. Selection criteria We included qualitative studies and mixed‐methods studies with a qualitative component. We included studies that explored healthcare workers’ views, experiences, and practices regarding mobile phones and other mobile devices, and that included data about healthcare workers’ informal use of these devices for work purposes. Data collection and analysis We extracted data using an extraction form designed for this synthesis, assessed methodological limitations using predefined criteria, and used a thematic synthesis approach to synthesise the data. We used the ‘street‐level bureaucrat’ concept to apply a conceptual lens to our findings and prepare a line of argument that links these findings. We used the GRADE‐CERQual approach to assess our confidence in the review findings and the line‐of‐argument statements. We collaborated with relevant stakeholders when defining the review scope, interpreting the findings, and developing implications for practice. Main results We included 30 studies in the review, published between 2013 and 2022. The studies were from high‐, middle‐ and low‐income countries and covered a range of healthcare settings and healthcare worker cadres. Most described mobile phone use as opposed to other mobile devices, such as tablets. We have moderate to high confidence in the statements in the following line of argument. The healthcare workers in this review, like other ‘street‐level bureaucrats’, face a gap between what is expected of them and the resources available to them. To plug this gap, healthcare workers develop their own strategies, including using their own mobile phones, data and airtime. They also use other personal resources, including their personal time when taking and making calls outside working hours, and their personal networks when contacting others for help and advice. In some settings, healthcare workers' personal phone use, although unregulated, has become a normal part of many work processes. Some healthcare workers therefore experience pressure or expectations from colleagues and managers to use their personal phones. Some also feel driven to use their phones at work and at home because of feelings of obligation towards their patients and colleagues. At best, healthcare workers’ use of their personal phones, time and networks helps humanise healthcare. It allows healthcare workers to be more flexible, efficient and responsive to the needs of the patient. It can give patients access to individual healthcare workers rather than generic systems and can help patients keep their sensitive information out of the formal system. It also allows healthcare workers to communicate with each other in more personalised, socially appropriate ways than formal systems allow. All of this can strengthen healthcare workers' relationships with community members and colleagues. However, these informal approaches can also replicate existing social hierarchies and deepen existing inequities among healthcare workers. Personal phone use costs healthcare workers money. This is a particular problem for lower‐level healthcare workers and healthcare workers in low‐income settings as they are likely to be paid less and may have less access to work phones or compensation. Out‐of‐hours use may also be more of a burden for lower‐level healthcare workers, as they may find it harder to ignore calls when they are at home. Healthcare workers with poor access to electricity and the internet are less able to use informal mobile phone solutions, while healthcare workers who lack skills and training in how to appraise unendorsed online information are likely to struggle to identify trustworthy information. Informal digital channels can help healthcare workers expand their networks. But healthcare workers who rely on personal networks to seek help and advice are at a disadvantage if these networks are weak. Healthcare workers’ use of their personal resources can also lead to problems for patients and can benefit some patients more than others. For instance, when healthcare workers store and share patient information on their personal phones, the confidentiality of this information may be broken. In addition, healthcare workers may decide to use their personal resources on some types of patients, but not others. Healthcare workers sometimes describe using their personal phones and their personal time and networks to help patients and clients whom they assess as being particularly in need. These decisions are likely to reflect their own values and ideas, for instance about social equity and patient 'worthiness'. But these may not necessarily reflect the goals, ideals and regulations of the formal healthcare system. Finally, informal mobile phone use plugs gaps in the system but can also weaken the system. The storing and sharing of information on personal phones and through informal channels can represent a ‘shadow IT’ (information technology) system where information about patient flow, logistics, etc., is not recorded in the formal system. Healthcare workers may also be more distracted at work, for instance, by calls from colleagues and family members or by social media use. Such challenges may be particularly difficult for weak healthcare systems. Authors' conclusions By finding their own informal solutions to workplace challenges, healthcare workers can be more efficient and more responsive to the needs of patients, colleagues and themselves. But these solutions also have several drawbacks. Efforts to strengthen formal health systems should consider how to retain the benefits of informal solutions and reduce their negative effects. Plain language summary What are healthcare workers' views, experiences and practices regarding their informal use of personal mobile phones to support their work? Key messages •  Healthcare workers sometimes use their personal mobile (or 'cell') phones informally to plug gaps in the healthcare system. •  Our findings suggest that this can help them work more efficiently. It can also help them be more responsive to patients and health workers' needs. •  However, it can also lead to problems for patients and healthcare workers, and it can weaken the healthcare system. What is informal mobile phone use? Healthcare workers sometimes use their personal mobile phones at work even though this use is not formally regulated. This may help them carry out their work when their workplace lacks effective and accessible ways of sharing information through the formal system. But it can also lead to new problems. What did we want to find out? We wanted to explore healthcare workers’ informal use of personal mobile phones to support their work. What did we do? We searched for studies about healthcare workers’ views, experiences, and practices regarding their personal mobile phone use at work. We analysed their results and assessed our confidence in the review findings. What did we find? We found 30 studies published between 2013 and 2022. The studies were from high‐, middle‐ and low‐income countries. They explored different types of healthcare workers, including doctors, nurses, lay‐health workers, pharmacists and healthcare managers working in hospitals, clinics and the community. Some of our review findings were only based on small amounts of data, which lowered our confidence in these findings. We have moderate to high confidence in the following review findings. • Healthcare workers are faced with the gap between what is expected of them and the resources available to them. To plug this gap, they develop their own strategies. This sometimes involves using their own mobile phones, data and airtime. They also use their personal time to make and take calls outside working hours, and use their personal networks to contact others for help and advice. • In some settings, healthcare workers’ personal mobile phone use is unregulated but has become a normal part of many work processes. Some healthcare workers, therefore, feel pressure from colleagues and managers to use their personal phones. Some also use their mobile phones because of feelings of obligation towards their patients and colleagues. • Healthcare workers’ use of their personal mobile phones, time and networks helps humanise healthcare. It allows healthcare workers to be more flexible, efficient and responsive to the needs of the patient. It can connect patients with individual healthcare workers rather than impersonal systems and can help patients keep sensitive information out of the formal system. It also allows healthcare workers to communicate with each other in more personal ways than formal systems allow. All this can strengthen healthcare workers' relationships with patients and colleagues. • However, these informal approaches can also cause problems for healthcare workers. Personal mobile phone use costs money. This is a particular problem for lower‐level healthcare workers and healthcare workers in low‐income settings who are likely to be paid less and may have less access to work phones or compensation. Out‐of‐hours use may also be more of a burden for lower‐level healthcare workers as they may find it harder to ignore calls when they are at home. Healthcare workers with poor access to electricity and the internet are also less able to use informal mobile phone solutions, while healthcare workers with less education may find it difficult to appraise the information they find online. Informal digital channels can help healthcare workers expand their personal networks. However, healthcare workers who rely on personal networks to seek help and advice are at a disadvantage if these networks are weak. • Healthcare workers’ use of their personal resources can also lead to problems for patients and can benefit some patients more than others. For instance, when healthcare workers store and share patient information on their personal mobile phones, the confidentiality of this information may be broken. Furthermore, healthcare workers may decide to use their personal resources on some types of patients, but not others. Healthcare workers sometimes describe using their mobile phones, time and networks to help patients and clients whom they think are particularly in need. These decisions are likely to reflect their own values and ideas, for instance about social equity and patients' worthiness. But these may not necessarily reflect the goals and ideals that the formal healthcare system aims to achieve. • Finally, informal mobile phone use plugs gaps in the healthcare system but can also weaken the system. Storing and sharing of information on personal phones and through informal channels can create a ‘shadow IT’ (information technology) system where information about patient flow and logistics are not formally recorded. Healthcare workers may also be more distracted at work, for instance by calls from colleagues and family members or by social media. These types of challenges may be particularly difficult for weak healthcare systems. How current is this evidence? The evidence is current to August 2022.","8","John Wiley & Sons, Ltd","1465-1858","*Cell Phone; *Health Personnel; Attitude of Health Personnel; Bias; Humans; Qualitative Research; Text Messaging; Workplace","10.1002/14651858.CD015705.pub2","http://dx.doi.org/10.1002/14651858.CD015705.pub2","Central Editorial Service"
"CD013557.PUB2","McCartan, CJ; Yap, J; Best, P; Breedvelt, J; Breslin, G; Firth, J; Tully, MA; Webb, P; White, C; Gilbody, S; Churchill, R; Davidson, G","Factors that influence participation in physical activity for people with bipolar disorder: a synthesis of qualitative evidence","Cochrane Database of Systematic Reviews","2024","Abstract - Background Mental health problems contribute significantly to the overall disease burden worldwide and are major causes of disability, suicide, and ischaemic heart disease. People with bipolar disorder report lower levels of physical activity than the general population, and are at greater risk of chronic health conditions including cardiovascular disease and obesity. These contribute to poor health outcomes. Physical activity has the potential to improve quality of life and physical and mental well‐being. Objectives To identify the factors that influence participation in physical activity for people diagnosed with bipolar disorder from the perspectives of service users, carers, service providers, and practitioners to help inform the design and implementation of interventions that promote physical activity. Search methods We searched MEDLINE, PsycINFO, and eight other databases to March 2021. We also contacted experts in the field, searched the grey literature, and carried out reference checking and citation searching to identify additional studies. There were no language restrictions. Selection criteria We included qualitative studies and mixed‐methods studies with an identifiable qualitative component. We included studies that focused on the experiences and attitudes of service users, carers, service providers, and healthcare professionals towards physical activity for bipolar disorder. Data collection and analysis We extracted data using a data extraction form designed for this review. We assessed methodological limitations using a list of predefined questions. We used the ""best fit"" framework synthesis based on a revised version of the Health Belief Model to analyse and present the evidence. We assessed methodological limitations using the CASP Qualitative Checklist. We used the GRADE‐CERQual (Confidence in the Evidence from Reviews of Qualitative research) guidance to assess our confidence in each finding. We examined each finding to identify factors to inform the practice of health and care professionals and the design and development of physical activity interventions for people with bipolar disorder. Main results We included 12 studies involving a total of 592 participants (422 participants who contributed qualitative data to an online survey, 170 participants in qualitative research studies). Most studies explored the views and experiences of physical activity of people with experience of bipolar disorder. A number of studies also reported on personal experiences of physical activity components of lifestyle interventions. One study included views from family carers and clinicians. The majority of studies were from high‐income countries, with only one study conducted in a middle‐income country. Most participants were described as stable and had been living with a diagnosis of bipolar disorder for a number of years. We downgraded our confidence in several of the findings from high confidence to moderate or low confidence, as some findings were based on only small amounts of data, and the findings were based on studies from only a few countries, questioning the relevance of these findings to other settings. We also had very few perspectives of family members, other carers, or health professionals supporting people with bipolar disorder. The studies did not include any findings from service providers about their perspectives on supporting this aspect of care. There were a number of factors that limited people's ability to undertake physical activity. Shame and stigma about one's physical appearance and mental health diagnosis were discussed. Some people felt their sporting skills/competencies had been lost when they left school. Those who had been able to maintain exercise through the transition into adulthood appeared to be more likely to include physical activity in their regular routine. Physical health limits and comorbid health conditions limited activity. This included bipolar medication, being overweight, smoking, alcohol use, poor diet and sleep, and these barriers were linked to negative coping skills. Practical problems included affordability, accessibility, transport links, and the weather. Workplace or health schemes that offered discounts were viewed positively. The lack of opportunity for exercise within inpatient mental health settings was a problem. Facilitating factors included being psychologically stable and ready to adopt new lifestyle behaviours. There were positive benefits of being active outdoors and connecting with nature. Achieving balance, rhythm, and routine helped to support mood management. Fitting physical activity into a regular routine despite fluctuating mood or motivation appeared to be beneficial if practised at the right intensity and pace. Over‐ or under‐exercising could be counterproductive and accelerate depressive or manic moods. Physical activity also helped to provide a structure to people's daily routines and could lead to other positive lifestyle benefits. Monitoring physical or other activities could be an effective way to identify potential triggers or early warning signs. Technology was helpful for some. People who had researched bipolar disorder and had developed a better understanding of the condition showed greater confidence in managing their care or providing care to others. Social support from friends/family or health professionals was an enabling factor, as was finding the right type of exercise, which for many people was walking. Other benefits included making social connections, weight loss, improved quality of life, and better mood regulation. Few people had been told of the benefits of physical activity. Better education and training of health professionals could support a more holistic approach to physical and mental well‐being. Involving mental health professionals in the multidisciplinary delivery of physical activity interventions could be beneficial and improve care. Clear guidelines could help people to initiate and incorporate lifestyle changes. Authors' conclusions There is very little research focusing on factors that influence participation in physical activity in bipolar disorder. The studies we identified suggest that men and women with bipolar disorder face a range of obstacles and challenges to being active. The evidence also suggests that there are effective ways to promote managed physical activity. The research highlighted the important role that health and care settings, and professionals, can play in assessing individuals' physical health needs and how healthy lifestyles may be promoted. Based on these findings, we have provided a summary of key elements to consider for developing physical activity interventions for bipolar disorder. Plain language summary Factors that influence physical activity in bipolar disorder Key messages We found few studies that explored factors that influence participation in physical activity for people with bipolar disorder. The studies we found suggested that regular physical activity can be beneficial for people with bipolar disorder, but there are some obstacles and challenges to as well as effective ways of promoting being active. What was the aim of this synthesis? The aim of this qualitative evidence synthesis was to explore the factors that promote physical activity for people with bipolar disorder. We searched for and analysed qualitative studies of views and experiences of people with bipolar disorder, health professionals, and family/carer perspectives. We included 12 studies involving a total of 592 participants (422 participants who contributed qualitative data to an online survey, 170 from qualitative studies). What was studied in this synthesis? Many people with bipolar disorder have physical health problems, and increasing physical activity may help improve their physical and mental well‐being. We studied qualitative research (research that gathers participants' experiences, beliefs, and behaviour) that aimed to promote physical activity for bipolar disorder and sought views from service users, health professionals, and family/carers. The review authors, who are researchers and/or health professionals working in the area of mental health and physical activity, identified this review topic because of limited research published in the area. What are the main findings of this synthesis? We included 12 studies conducted in Europe, North and South America, and Australia. Eleven studies were based in high‐income countries (Australia, Belgium, Canada, Spain, the UK, and the USA), and one was from a middle‐income country (Brazil). Most studies explored the views and experiences of physical activity in people with bipolar disorder. There were more women than men in the included research, and participants were described as stable with regard to their disease and interested in making lifestyle changes to improve their health. We downgraded our confidence from high to moderate or low confidence because some findings were based on small amounts of data or on studies from only a few countries, questioning how applicable these findings are to other settings. There were also very few perspectives from family members, other carers, or health professionals. There were no findings from service providers. In general, people had limited knowledge of the benefits of physical activity for managing mental health symptoms and of their physical health needs. Many people experienced shame and stigma about their physical and mental health, which contributed to anxiety and embarrassment and negative ways of coping, such as socially isolating. Taking medication, being overweight, smoking, and sleep were challenges to being more active. Lack of time and money, bad weather, poor transport, and personal safety concerns were also highlighted as problems. Tackling the sharp reduction in activity levels when young people leave education is a significant public health issue, particularly for young women. Workplace or healthcare schemes were considered beneficial. Being psychologically ready to be active and having social support and encouragement was helpful. People enjoyed connecting with nature and making social connections, and reported other benefits including weight loss, improved quality of life, and better mood regulation. Finding an enjoyable physical activity and incorporating it into a regular routine at the right level and intensity contributed to mood management and improved well‐being. Offering safe, accessible, inclusive, and low‐cost opportunities to be active could help reduce stigma and promote physical activity and social connections. Clearer guidelines about the benefits of physical activity should inform health and care treatment plans, and involving teams across fields of speciality with knowledge and experience in bipolar disorder could help support people to increase physical activity levels. Adjustments and support may need to be made to establish a beneficial activity programme and balanced routine. Interventions that take a phased, step‐by‐step approach to introduce lifestyle changes, for example increasing physical activity, healthy eating, and reducing risk behaviours (e.g. stopping smoking), are practical and effective. More research is required to establish the views and experiences of family members and carers and health and care professionals, as well as people who do not feel ready to engage in physical activity. How up‐to‐date is this review? We searched for studies published up to March 2021.","6","John Wiley & Sons, Ltd","1465-1858","*Bipolar Disorder [psychology, therapy]; *Exercise [psychology]; *Qualitative Research; Bias; Caregivers [psychology]; Health Personnel [psychology]; Humans; Meta-Analysis as Topic; Quality of Life; Systematic Reviews as Topic","10.1002/14651858.CD013557.pub2","http://dx.doi.org/10.1002/14651858.CD013557.pub2","Common Mental Disorders"
"CD014756.PUB2","Taylor, M; Medley, N; van Wyk, SS; Oliver, S","Community views on active case finding for tuberculosis in low‐ and middle‐income countries: a qualitative evidence synthesis","Cochrane Database of Systematic Reviews","2024","Abstract - Background Active case finding (ACF) refers to the systematic identification of people with tuberculosis in communities and amongst populations who do not present to health facilities, through approaches such as door‐to‐door screening or contact tracing. ACF may improve access to tuberculosis diagnosis and treatment for the poor and for people remote from diagnostic and treatment facilities. As a result, ACF may also reduce onward transmission. However, there is a need to understand how these programmes are experienced by communities in order to design appropriate services. Objectives To synthesize community views on tuberculosis active case finding (ACF) programmes in low‐ and middle‐income countries. Search methods We searched MEDLINE, Embase, and eight other databases up to 22 June 2023, together with reference checking, citation searching, and contact with study authors to identify additional studies. We did not include grey literature. Selection criteria This review synthesized qualitative research and mixed‐methods studies with separate qualitative data. Eligible studies explored community experiences, perceptions, or attitudes towards ACF programmes for tuberculosis in any endemic low‐ or middle‐income country, with no time restrictions. Data collection and analysis Due to the large volume of studies identified, we chose to sample studies that had 'thick' description and that investigated key subgroups of children and refugees. We followed standard Cochrane methods for study description and appraisal of methodological limitations. We conducted thematic synthesis and developed codes inductively using ATLAS.ti software. We examined codes for underlying ideas, connections, and interpretations and, from this, generated analytical themes. We assessed the confidence in the findings using the GRADE‐CERQual approach, and produced a conceptual model to display how the different findings interact. Main results We included 45 studies in this synthesis, and sampled 20. The studies covered a broad range of World Health Organization (WHO) regions (Africa, South‐East Asia, Eastern Mediterranean, and the Americas) and explored the views and experiences of community members, community health workers, and clinical staff in low‐ and middle‐income countries endemic for tuberculosis. The following five themes emerged. • ACF improves access to diagnosis for many, but does little to help communities on the edge.  Tuberculosis ACF and contact tracing improve access to health services for people with worse health and fewer resources (High confidence). ACF helps to find this population, exposed to deprived living conditions, but is not sensitive to additional dimensions of their plight (High confidence) and out‐of‐pocket costs necessary to continue care (High confidence). Finally, migration and difficult geography further reduce communities' access to ACF (High confidence). • People are afraid of diagnosis and its impact.  Some community members find screening frightening. It exposes them to discrimination along distinct pathways (isolation from their families and wider community, lost employment and housing). HIV stigma compounds tuberculosis stigma and heightens vulnerability to discrimination along these same pathways (High confidence). Consequently, community members may refuse to participate in screening, contact tracing, and treatment (High confidence). In addition, people with tuberculosis reported their emotional turmoil upon diagnosis, as they anticipated intense treatment regimens and the prospect of living with a serious illness (High confidence). • Screening is undermined by weak health infrastructure.  In many settings, a lack of resources results in weak services in competition with other disease control programmes (Moderate confidence). In this context of low investment, people face repeated tests and clinic visits, wasted time, and fraught social interaction with health providers (Moderate confidence). ACF can create expectations for follow‐up health care that it cannot deliver (High confidence). Finally, community education improves awareness of tuberculosis in some settings, but lack of full information impacts community members, parents, and health workers, and sometimes leads to harm for children (High confidence). • Health workers are an undervalued but important part of ACF.  ACF can feel difficult for health workers in the context of a poorly resourced health system and with people who may not wish to be identified. In addition, the evidence suggests health workers are poorly protected against tuberculosis and fear they or their families might become infected (Moderate confidence). However, they appear to be central to programme success, as the humanity they offer often acts as a driving force for retaining people with tuberculosis in care (Moderate confidence). • Local leadership is necessary but not sufficient for ensuring appropriate programmes.  Local leadership creates an intrinsic motivation for communities to value health services (High confidence). However, local leadership cannot guarantee the success of ACF and contact tracing programmes. It is important to balance professional authority with local knowledge and rapport (High confidence). Authors' conclusions Tuberculosis active case finding (ACF) and contact tracing bring a diagnostic service to people who may otherwise not receive it, such as those who are well or without symptoms and those who are sick but who have fewer resources and live further from health facilities. However, capturing these 'missing cases' may in itself be insufficient without appropriate health system strengthening to retain people in care. People who receive a tuberculosis diagnosis must contend with a complex and unsustainable cascade of care, and this affects their perception of ACF and their decision to engage with it. Plain language summary What do people think of strategies to identify cases of tuberculosis in low‐ and middle‐income countries? What is active case finding? Active case finding (ACF) involves health workers going out into communities to identify people with tuberculosis who otherwise might not have sought help in clinics (e.g. because they live too far from health facilities or cannot afford to get there). The aim of ACF is to find people who have tuberculosis and provide them with treatment, in order to reduce the spread of disease and improve the health of infected people. What did we want to find out? We aimed to understand the experiences and perspectives of people who had been involved in ACF, including people with tuberculosis, community members, and health workers. What did we find? We included 45 studies and sampled from 20 across a broad range of World Health Organization (WHO) regions (Africa, South‐East Asia, Eastern Mediterranean, and the Americas). From these data, we drew the following five main conclusions. •  ACF improves access to diagnosis for many, but does little to help the poorest people.  ACF improves access to health services for people with worse health and fewer resources. However, programmes are not always sensitive to the challenges people have in their daily lives. Those who migrate for work or who live in remote areas also have little access to ACF. •  People are afraid of diagnosis and its impact.  Being targeted for screening is frightening. It exposes people to discrimination due to stigma, and people may also assume they have HIV. For this reason, some people may refuse to participate in diagnosis and treatment. In addition, people report feeling overwhelmed and afraid upon diagnosis, as they anticipate medicine side effects and the prospect of living with a serious illness. •  Screening is undermined by weak health infrastructure.  In many settings, lack of investment has resulted in poor services. As a result, people face repeated tests and clinic visits, wasted time, and difficult interactions with health workers. People with tuberculosis or other conditions who attend screening expect follow‐up care, which they may or may not receive. Finally, community members, parents, and health workers often receive inadequate information, which can lead to harm for children. •  Health workers are an under‐valued but important part of ACF.  ACF can feel difficult for health workers due to lack of support. They are also poorly protected against tuberculosis and fear that they or their families might become infected. Despite these obstacles, the care and support provided by health workers helps people feel able to manage their condition. •  Local leadership is necessary but not sufficient for ensuring appropriate programmes.  When people from the local community promote or conduct ACF, it increases support for the service. However, health workers need to balance professional authority with local knowledge and rapport. How up to date is this evidence? We searched for studies published before 22 June 2023.","3","John Wiley & Sons, Ltd","1465-1858","*Developing Countries; *Qualitative Research; *Tuberculosis [diagnosis]; Attitude to Health; Contact Tracing; Humans; Mass Screening [methods]","10.1002/14651858.CD014756.pub2","http://dx.doi.org/10.1002/14651858.CD014756.pub2","Infectious Diseases"
